NHL Season 2025-2026
Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
2025-11-16,7:00 PM,Detroit Red Wings,2,New York Rangers,1,,18006,2:29,
2025-11-16,9:00 AM,Nashville Predators,0,Pittsburgh Penguins,4,,12723,2:35,at (Stockholm SE)
2025-11-16,5:00 PM,Vancouver Canucks,6,Tampa Bay Lightning,2,,19092,2:37,
2025-11-17,10:00 PM,Utah Mammoth,2,Anaheim Ducks,3,OT,15177,2:27,
2025-11-17,7:00 PM,Carolina Hurricanes,3,Boston Bruins,1,,17850,2:38,
2025-11-17,7:00 PM,Edmonton Oilers,1,Buffalo Sabres,5,,16394,2:32,
2025-11-17,7:30 PM,Montreal Canadiens,3,Columbus Blue Jackets,4,SO,14811,2:36,
2025-11-17,7:00 PM,Vancouver Canucks,5,Florida Panthers,8,,19260,2:40,
2025-11-17,7:00 PM,Los Angeles Kings,1,Washington Capitals,2,,17649,2:26,
2025-11-18,8:30 PM,Calgary Flames,2,Chicago Blackhawks,5,,17518,2:39,
2025-11-18,8:00 PM,New York Islanders,3,Dallas Stars,2,,18532,2:28,
2025-11-18,7:00 PM,Seattle Kraken,2,Detroit Red Wings,4,,19515,2:37,
2025-11-18,10:00 PM,Utah Mammoth,2,San Jose Sharks,3,OT,12101,2:39,
2025-11-18,7:00 PM,New Jersey Devils,1,Tampa Bay Lightning,5,,19092,2:32,
2025-11-18,7:00 PM,St. Louis Blues,2,Toronto Maple Leafs,3,OT,18353,2:32,
2025-11-18,10:00 PM,New York Rangers,2,Vegas Golden Knights,3,,18008,2:29,
2025-11-18,8:00 PM,Columbus Blue Jackets,2,Winnipeg Jets,5,,13847,2:29,
2025-11-19,10:00 PM,Boston Bruins,3,Anaheim Ducks,4,,14067,2:34,
2025-11-19,7:30 PM,Calgary Flames,6,Buffalo Sabres,2,,15213,2:35,
2025-11-19,9:30 PM,Carolina Hurricanes,3,Minnesota Wild,4,SO,16087,2:38,
2025-11-19,7:00 PM,Edmonton Oilers,4,Washington Capitals,7,,17929,2:29,
2025-11-20,10:00 PM,Ottawa Senators,3,Anaheim Ducks,2,,14564,2:28,
2025-11-20,8:00 PM,Seattle Kraken,3,Chicago Blackhawks,2,,18170,2:24,
2025-11-20,9:00 PM,New York Rangers,3,Colorado Avalanche,6,,18080,2:30,
2025-11-20,7:00 PM,New York Islanders,5,Detroit Red Wings,0,,18918,2:36,
2025-11-20,7:00 PM,New Jersey Devils,0,Florida Panthers,1,,19473,2:19,
2025-11-20,7:00 PM,Washington Capitals,8,Montreal Canadiens,4,,20962,2:38,
2025-11-20,7:00 PM,St. Louis Blues,2,Philadelphia Flyers,3,OT,17677,2:29,
2025-11-20,10:00 PM,Los Angeles Kings,3,San Jose Sharks,4,SO,16387,2:36,
2025-11-20,7:30 PM,Edmonton Oilers,1,Tampa Bay Lightning,2,OT,19092,2:38,
2025-11-20,7:00 PM,Columbus Blue Jackets,3,Toronto Maple Leafs,2,OT,18438,2:37,
2025-11-20,9:00 PM,Vegas Golden Knights,4,Utah Mammoth,1,,12478,2:35,
2025-11-20,10:00 PM,Dallas Stars,4,Vancouver Canucks,2,,18703,2:29,
2025-11-21,7:00 PM,Chicago Blackhawks,3,Buffalo Sabres,9,,17058,2:29,
2025-11-21,10:30 PM,Boston Bruins,2,Los Angeles Kings,1,OT,18145,2:34,
2025-11-21,7:00 PM,Minnesota Wild,5,Pittsburgh Penguins,0,,17527,2:20,
2025-11-21,8:00 PM,Carolina Hurricanes,4,Winnipeg Jets,3,,15225,2:32,
2025-11-22,10:00 PM,Vegas Golden Knights,3,Anaheim Ducks,4,OT,17174,2:35,
2025-11-22,10:00 PM,Dallas Stars,2,Calgary Flames,3,SO,17566,2:43,
2025-11-22,1:00 PM,Columbus Blue Jackets,3,Detroit Red Wings,4,OT,19515,2:44,
2025-11-22,7:00 PM,Edmonton Oilers,6,Florida Panthers,3,,19534,2:27,
2025-11-22,7:00 PM,Toronto Maple Leafs,2,Montreal Canadiens,5,,20962,2:37,
2025-11-22,8:00 PM,Colorado Avalanche,3,Nashville Predators,0,,17457,2:25,
2025-11-22,3:30 PM,St. Louis Blues,2,New York Islanders,1,,17255,2:25,
2025-11-22,7:00 PM,New Jersey Devils,3,Philadelphia Flyers,6,,18342,2:30,
2025-11-22,7:00 PM,Seattle Kraken,3,Pittsburgh Penguins,2,OT,17783,2:29,
2025-11-22,7:00 PM,Ottawa Senators,3,San Jose Sharks,2,,17435,2:29,
2025-11-22,9:00 PM,New York Rangers,2,Utah Mammoth,3,,12478,2:32,
2025-11-22,7:00 PM,Tampa Bay Lightning,5,Washington Capitals,3,,18347,2:36,
2025-11-23,1:00 PM,Carolina Hurricanes,1,Buffalo Sabres,4,,18027,2:30,
2025-11-23,7:00 PM,Colorado Avalanche,1,Chicago Blackhawks,0,,20441,2:29,
2025-11-23,5:00 PM,Seattle Kraken,0,New York Islanders,1,SO,17255,2:35,
2025-11-23,8:00 PM,Boston Bruins,1,San Jose Sharks,3,,17435,2:30,
2025-11-23,9:00 PM,Calgary Flames,5,Vancouver Canucks,2,,18671,2:24,
2025-11-23,4:00 PM,Minnesota Wild,3,Winnipeg Jets,0,,14368,2:24,
2025-11-24,9:00 PM,Ottawa Senators,1,Los Angeles Kings,2,,17421,2:27,
2025-11-24,7:00 PM,Detroit Red Wings,3,New Jersey Devils,4,,16514,2:30,
2025-11-24,8:00 PM,Florida Panthers,8,Nashville Predators,3,,17431,2:28,
2025-11-24,7:00 PM,St. Louis Blues,2,New York Rangers,3,,18006,2:30,
2025-11-24,7:00 PM,Philadelphia Flyers,0,Tampa Bay Lightning,3,,19092,2:22,
2025-11-24,9:00 PM,Vegas Golden Knights,1,Utah Mammoth,5,,12478,2:29,
2025-11-24,7:00 PM,Columbus Blue Jackets,1,Washington Capitals,5,,17337,2:18,
2025-11-25,9:00 PM,Dallas Stars,8,Edmonton Oilers,3,,18347,2:22,
2025-11-26,10:00 PM,Vancouver Canucks,5,Anaheim Ducks,4,,16781,2:28,
2025-11-26,7:00 PM,New York Rangers,4,Carolina Hurricanes,2,,18299,2:32,
2025-11-26,7:00 PM,Toronto Maple Leafs,2,Columbus Blue Jackets,1,OT,16632,2:40,
2025-11-26,8:30 PM,Minnesota Wild,4,Chicago Blackhawks,3,OT,18933,2:37,
2025-11-26,9:00 PM,San Jose Sharks,0,Colorado Avalanche,6,,18117,2:25,
2025-11-26,7:00 PM,Nashville Predators,6,Detroit Red Wings,3,,19515,2:42,
2025-11-26,7:00 PM,Philadelphia Flyers,4,Florida Panthers,2,,19729,2:26,
2025-11-26,7:00 PM,St. Louis Blues,2,New Jersey Devils,3,OT,16056,2:24,
2025-11-26,7:00 PM,Boston Bruins,3,New York Islanders,1,,17255,2:23,
2025-11-26,7:00 PM,Buffalo Sabres,2,Pittsburgh Penguins,4,,17543,2:14,
2025-11-26,10:00 PM,Dallas Stars,3,Seattle Kraken,2,,17151,2:24,
2025-11-26,7:00 PM,Calgary Flames,1,Tampa Bay Lightning,5,,19092,2:25,
2025-11-26,9:30 PM,Montreal Canadiens,4,Utah Mammoth,3,,12478,2:35,
2025-11-26,10:00 PM,Ottawa Senators,4,Vegas Golden Knights,3,SO,17791,2:49,
2025-11-26,7:00 PM,Winnipeg Jets,3,Washington Capitals,4,,18347,2:33,
2025-11-28,4:00 PM,Los Angeles Kings,4,Anaheim Ducks,5,SO,17174,2:36,
2025-11-28,1:00 PM,New York Rangers,6,Boston Bruins,2,,17850,2:29,
2025-11-28,4:00 PM,New Jersey Devils,5,Buffalo Sabres,0,,19070,2:28,
2025-11-28,5:00 PM,Winnipeg Jets,1,Carolina Hurricanes,5,,18312,2:30,
2025-11-28,7:00 PM,Pittsburgh Penguins,4,Columbus Blue Jackets,3,OT,18194,2:32,
2025-11-28,8:00 PM,Nashville Predators,4,Chicago Blackhawks,3,,19755,2:31,
2025-11-28,8:00 PM,Utah Mammoth,3,Dallas Stars,4,,18532,2:23,
2025-11-28,12:00 PM,Tampa Bay Lightning,6,Detroit Red Wings,3,,19515,2:29,
2025-11-28,4:00 PM,Calgary Flames,5,Florida Panthers,3,,19664,2:36,
2025-11-28,3:30 PM,Colorado Avalanche,2,Minnesota Wild,3,SO,19044,2:39,
2025-11-28,4:00 PM,Philadelphia Flyers,4,New York Islanders,3,SO,17255,2:38,
2025-11-28,4:00 PM,Vancouver Canucks,2,San Jose Sharks,3,,17435,2:40,
2025-11-28,4:00 PM,Ottawa Senators,3,St. Louis Blues,4,,18096,2:30,
2025-11-28,4:00 PM,Montreal Canadiens,4,Vegas Golden Knights,1,,17739,2:27,
2025-11-28,5:00 PM,Toronto Maple Leafs,2,Washington Capitals,4,,18347,2:25,
2025-11-29,7:00 PM,Detroit Red Wings,2,Boston Bruins,3,SO,17850,2:41,
2025-11-29,3:00 PM,Montreal Canadiens,2,Colorado Avalanche,7,,18112,2:32,
2025-11-29,10:00 PM,Vancouver Canucks,1,Los Angeles Kings,2,OT,18145,2:39,
2025-11-29,8:00 PM,Buffalo Sabres,3,Minnesota Wild,2,SO,17233,2:38,
2025-11-29,7:00 PM,Philadelphia Flyers,5,New Jersey Devils,3,,16757,2:37,
2025-11-29,7:00 PM,Winnipeg Jets,5,Nashville Predators,2,,17159,2:36,
2025-11-29,2:00 PM,Tampa Bay Lightning,4,New York Rangers,1,,18006,2:21,
2025-11-29,7:00 PM,Toronto Maple Leafs,7,Pittsburgh Penguins,2,,17310,2:27,
2025-11-29,4:00 PM,Edmonton Oilers,4,Seattle Kraken,0,,17151,2:30,
2025-11-29,8:00 PM,Utah Mammoth,0,St. Louis Blues,1,,16847,2:24,
2025-11-29,10:00 PM,San Jose Sharks,3,Vegas Golden Knights,4,,17919,2:28,
2025-11-30,5:00 PM,Calgary Flames,0,Carolina Hurricanes,1,OT,18299,2:26,
2025-11-30,3:30 PM,Anaheim Ducks,3,Chicago Blackhawks,5,,19912,2:33,
2025-11-30,6:00 PM,Ottawa Senators,1,Dallas Stars,6,,18532,2:31,
2025-11-30,1:00 PM,Washington Capitals,4,New York Islanders,1,,15648,2:28,
2025-12-01,7:30 PM,Winnipeg Jets,1,Buffalo Sabres,5,,15758,2:19,
2025-12-01,7:00 PM,Columbus Blue Jackets,5,New Jersey Devils,3,,13881,2:43,
2025-12-01,7:00 PM,Pittsburgh Penguins,5,Philadelphia Flyers,1,,17338,2:35,
2025-12-01,10:00 PM,Utah Mammoth,3,San Jose Sharks,6,,11241,1:38,
2025-12-01,8:00 PM,Anaheim Ducks,4,St. Louis Blues,1,,16229,2:26,
2025-12-02,9:00 PM,Vancouver Canucks,1,Colorado Avalanche,3,,18103,2:17,
2025-12-02,7:00 PM,Boston Bruins,4,Detroit Red Wings,5,,18803,2:32,
2025-12-02,9:00 PM,Minnesota Wild,1,Edmonton Oilers,0,,19173,2:22,
2025-12-02,7:30 PM,Toronto Maple Leafs,4,Florida Panthers,1,,19268,2:21,
2025-12-02,10:30 PM,Washington Capitals,3,Los Angeles Kings,1,,16509,2:27,
2025-12-02,7:00 PM,Ottawa Senators,5,Montreal Canadiens,2,,20962,2:30,
2025-12-02,8:00 PM,Calgary Flames,1,Nashville Predators,5,,17159,2:33,
2025-12-02,7:00 PM,Tampa Bay Lightning,1,New York Islanders,2,,13014,2:16,
2025-12-02,7:00 PM,Dallas Stars,2,New York Rangers,3,OT,16950,2:36,
2025-12-02,10:00 PM,Chicago Blackhawks,3,Vegas Golden Knights,4,SO,17944,2:44,
2025-12-03,10:00 PM,Utah Mammoth,7,Anaheim Ducks,0,,12547,2:31,
2025-12-03,7:30 PM,Winnipeg Jets,2,Montreal Canadiens,3,SO,20962,2:43,
2025-12-03,7:00 PM,Dallas Stars,3,New Jersey Devils,0,,15805,2:22,
2025-12-03,7:30 PM,Buffalo Sabres,2,Philadelphia Flyers,5,,17116,2:39,
2025-12-03,10:00 PM,Washington Capitals,7,San Jose Sharks,1,,15466,2:28,
2025-12-04,7:00 PM,St. Louis Blues,2,Boston Bruins,5,,17850,2:26,
2025-12-04,7:00 PM,Toronto Maple Leafs,5,Carolina Hurricanes,1,,18299,2:28,
2025-12-04,7:30 PM,Detroit Red Wings,5,Columbus Blue Jackets,6,SO,16818,2:43,
2025-12-04,9:00 PM,Minnesota Wild,1,Calgary Flames,4,,16924,2:28,
2025-12-04,9:00 PM,Seattle Kraken,4,Edmonton Oilers,9,,17496,2:31,
2025-12-04,7:00 PM,Nashville Predators,2,Florida Panthers,1,OT,19340,2:43,
2025-12-04,10:00 PM,Chicago Blackhawks,2,Los Angeles Kings,1,,16225,2:31,
2025-12-04,7:00 PM,Colorado Avalanche,3,New York Islanders,6,,14497,2:30,
2025-12-04,7:00 PM,New York Rangers,4,Ottawa Senators,2,,15533,2:27,
2025-12-04,7:00 PM,Pittsburgh Penguins,4,Tampa Bay Lightning,3,,19092,2:34,
2025-12-05,10:00 PM,Washington Capitals,3,Anaheim Ducks,4,SO,16122,2:46,
2025-12-05,8:00 PM,San Jose Sharks,1,Dallas Stars,4,,18532,2:28,
2025-12-05,7:00 PM,Vegas Golden Knights,3,New Jersey Devils,0,,15842,2:24,
2025-12-05,9:00 PM,Utah Mammoth,4,Vancouver Canucks,1,,18732,2:34,
2025-12-05,7:00 PM,Buffalo Sabres,1,Winnipeg Jets,4,,13682,2:29,
2025-12-06,7:00 PM,New Jersey Devils,1,Boston Bruins,4,,17850,2:25,
2025-12-06,7:00 PM,Nashville Predators,3,Carolina Hurricanes,6,,18299,2:39,
2025-12-06,7:00 PM,Utah Mammoth,0,Calgary Flames,2,,17541,2:28,
2025-12-06,10:00 PM,Winnipeg Jets,2,Edmonton Oilers,6,,18347,2:17,
2025-12-06,3:30 PM,Columbus Blue Jackets,6,Florida Panthers,7,OT,19269,2:51,
2025-12-06,9:00 PM,Chicago Blackhawks,0,Los Angeles Kings,6,,18145,2:29,
2025-12-06,12:30 PM,Colorado Avalanche,3,New York Rangers,2,OT,17647,2:39,
2025-12-06,7:00 PM,St. Louis Blues,2,Ottawa Senators,1,,16064,2:40,
2025-12-06,10:00 PM,Detroit Red Wings,4,Seattle Kraken,3,,17151,2:34,
2025-12-06,7:00 PM,New York Islanders,2,Tampa Bay Lightning,0,,19092,2:22,
2025-12-06,7:00 PM,Montreal Canadiens,2,Toronto Maple Leafs,1,SO,19081,2:45,
2025-12-06,10:00 PM,Minnesota Wild,2,Vancouver Canucks,4,,18629,2:37,
2025-12-07,8:00 PM,Chicago Blackhawks,1,Anaheim Ducks,7,,15511,2:27,
2025-12-07,5:00 PM,San Jose Sharks,4,Carolina Hurricanes,1,,18299,2:26,
2025-12-07,6:00 PM,Pittsburgh Penguins,2,Dallas Stars,3,SO,18532,2:30,
2025-12-07,5:00 PM,New York Islanders,1,Florida Panthers,4,,19334,2:20,
2025-12-07,7:00 PM,St. Louis Blues,4,Montreal Canadiens,3,,20962,2:26,
2025-12-07,7:00 PM,Vegas Golden Knights,3,New York Rangers,2,OT,17486,2:36,
2025-12-07,1:00 PM,Colorado Avalanche,3,Philadelphia Flyers,2,,18606,2:22,
2025-12-07,7:00 PM,Columbus Blue Jackets,0,Washington Capitals,2,,17312,2:34,
2025-12-08,9:00 PM,Buffalo Sabres,4,Calgary Flames,7,,16278,2:47,
2025-12-08,10:00 PM,Minnesota Wild,4,Seattle Kraken,1,,17151,2:28,
2025-12-08,7:30 PM,Tampa Bay Lightning,0,Toronto Maple Leafs,2,,18520,2:31,
2025-12-08,9:00 PM,Los Angeles Kings,4,Utah Mammoth,2,,12478,2:31,
2025-12-08,10:00 PM,Detroit Red Wings,4,Vancouver Canucks,0,,18707,2:21,
2025-12-09,7:30 PM,Columbus Blue Jackets,1,Carolina Hurricanes,4,,18299,2:27,
2025-12-09,9:00 PM,Buffalo Sabres,4,Edmonton Oilers,3,OT,17622,2:40,
2025-12-09,7:00 PM,Tampa Bay Lightning,6,Montreal Canadiens,1,,20962,2:25,
2025-12-09,9:30 PM,Colorado Avalanche,3,Nashville Predators,4,SO,17159,2:48,
2025-12-09,7:00 PM,Vegas Golden Knights,4,New York Islanders,5,SO,13514,2:56,
2025-12-09,7:00 PM,New Jersey Devils,4,Ottawa Senators,3,,16159,2:37,
2025-12-09,7:00 PM,San Jose Sharks,1,Philadelphia Flyers,4,,17497,2:22,
2025-12-09,7:00 PM,Anaheim Ducks,4,Pittsburgh Penguins,3,SO,15165,2:37,
2025-12-09,8:00 PM,Boston Bruins,5,St. Louis Blues,2,,18096,2:31,
2025-12-09,8:00 PM,Dallas Stars,4,Winnipeg Jets,3,,13675,2:26,
2025-12-10,8:30 PM,Detroit Red Wings,4,Calgary Flames,3,,17055,2:42,
2025-12-10,7:30 PM,New York Rangers,0,Chicago Blackhawks,3,,19709,2:25,
2025-12-10,10:00 PM,Los Angeles Kings,2,Seattle Kraken,3,OT,17151,2:39,
2025-12-10,9:00 PM,Florida Panthers,4,Utah Mammoth,3,,12478,2:35,
2025-12-11,7:00 PM,Ottawa Senators,6,Columbus Blue Jackets,3,,15059,2:32,
2025-12-11,9:30 PM,Florida Panthers,2,Colorado Avalanche,6,,18112,2:31,
2025-12-11,9:00 PM,Detroit Red Wings,1,Edmonton Oilers,4,,18347,2:27,
2025-12-11,8:00 PM,Dallas Stars,2,Minnesota Wild,5,,17109,2:34,
2025-12-11,7:00 PM,Tampa Bay Lightning,8,New Jersey Devils,4,,16042,2:30,
2025-12-11,8:00 PM,St. Louis Blues,2,Nashville Predators,7,,17159,2:26,
2025-12-11,7:00 PM,Anaheim Ducks,2,New York Islanders,5,,14527,2:37,
2025-12-11,7:00 PM,Vegas Golden Knights,3,Philadelphia Flyers,2,OT,17585,2:27,
2025-12-11,7:30 PM,Montreal Canadiens,4,Pittsburgh Penguins,2,,14845,2:32,
2025-12-11,7:00 PM,San Jose Sharks,3,Toronto Maple Leafs,2,OT,18674,2:38,
2025-12-11,10:00 PM,Buffalo Sabres,3,Vancouver Canucks,2,,18606,2:22,
2025-12-11,8:00 PM,Boston Bruins,6,Winnipeg Jets,3,,13158,2:25,
2025-12-11,7:00 PM,Carolina Hurricanes,3,Washington Capitals,2,SO,18185,2:33,
2025-12-12,8:00 PM,Chicago Blackhawks,2,St. Louis Blues,3,,18096,2:27,
2025-12-12,9:00 PM,Seattle Kraken,3,Utah Mammoth,5,,12478,2:39,
2025-12-13,7:00 PM,Vegas Golden Knights,3,Columbus Blue Jackets,2,,16965,2:32,
2025-12-13,8:00 PM,Detroit Red Wings,4,Chicago Blackhawks,0,,20751,2:20,
2025-12-13,9:00 PM,Nashville Predators,2,Colorado Avalanche,4,,18130,2:32,
2025-12-13,8:00 PM,Florida Panthers,4,Dallas Stars,0,,18532,2:30,
2025-12-13,10:00 PM,Calgary Flames,2,Los Angeles Kings,1,OT,18145,2:41,
2025-12-13,2:00 PM,Ottawa Senators,2,Minnesota Wild,3,,18058,2:39,
2025-12-13,12:30 PM,Anaheim Ducks,1,New Jersey Devils,4,,15755,2:26,
2025-12-13,3:30 PM,Tampa Bay Lightning,2,New York Islanders,3,SO,17255,2:51,
2025-12-13,7:00 PM,Montreal Canadiens,4,New York Rangers,5,OT,18006,2:35,
2025-12-13,7:00 PM,Carolina Hurricanes,4,Philadelphia Flyers,3,SO,17726,2:39,
2025-12-13,3:00 PM,San Jose Sharks,6,Pittsburgh Penguins,5,OT,17059,2:36,
2025-12-13,7:00 PM,Edmonton Oilers,6,Toronto Maple Leafs,3,,19023,2:24,
2025-12-13,7:00 PM,Washington Capitals,1,Winnipeg Jets,5,,14096,2:29,
2025-12-14,5:00 PM,Philadelphia Flyers,2,Carolina Hurricanes,3,SO,18305,2:48,
2025-12-14,6:00 PM,Boston Bruins,2,Minnesota Wild,6,,18322,2:34,
2025-12-14,7:00 PM,Edmonton Oilers,1,Montreal Canadiens,4,,20962,2:32,
2025-12-14,12:30 PM,Vancouver Canucks,2,New Jersey Devils,1,,13821,2:25,
2025-12-14,3:00 PM,Utah Mammoth,5,Pittsburgh Penguins,4,OT,15686,2:36,
2025-12-14,8:00 PM,Buffalo Sabres,3,Seattle Kraken,1,,17151,2:19,
2025-12-15,8:00 PM,Los Angeles Kings,1,Dallas Stars,4,,18532,2:39,
2025-12-15,7:00 PM,Anaheim Ducks,4,New York Rangers,1,,18006,2:24,
2025-12-15,8:00 PM,Nashville Predators,5,St. Louis Blues,2,,18096,2:25,
2025-12-15,7:00 PM,Florida Panthers,5,Tampa Bay Lightning,2,,19092,2:42,
2025-12-15,7:30 PM,Ottawa Senators,3,Winnipeg Jets,2,OT,13566,2:24,
2025-12-16,7:00 PM,Utah Mammoth,1,Boston Bruins,4,,17850,2:32,
2025-12-16,7:00 PM,Anaheim Ducks,3,Columbus Blue Jackets,4,OT,14120,2:27,
2025-12-16,7:00 PM,New York Islanders,2,Detroit Red Wings,3,,19515,2:28,
2025-12-16,8:00 PM,Washington Capitals,0,Minnesota Wild,5,,18044,2:30,
2025-12-16,7:00 PM,Philadelphia Flyers,4,Montreal Canadiens,1,,20962,2:33,
2025-12-16,7:00 PM,Vancouver Canucks,3,New York Rangers,0,,17452,2:23,
2025-12-16,7:30 PM,Edmonton Oilers,6,Pittsburgh Penguins,4,,15285,2:32,
2025-12-16,10:00 PM,Colorado Avalanche,5,Seattle Kraken,3,,17151,2:41,
2025-12-16,10:00 PM,Calgary Flames,3,San Jose Sharks,6,,14261,2:33,
2025-12-16,7:00 PM,Chicago Blackhawks,2,Toronto Maple Leafs,3,,18568,2:22,
2025-12-17,7:30 PM,Utah Mammoth,4,Detroit Red Wings,1,,19515,2:23,
2025-12-17,7:00 PM,Los Angeles Kings,2,Florida Panthers,3,,19612,2:32,
2025-12-17,8:00 PM,Carolina Hurricanes,4,Nashville Predators,1,,17159,2:35,
2025-12-17,8:00 PM,Winnipeg Jets,0,St. Louis Blues,1,,16953,2:21,
2025-12-17,10:00 PM,New Jersey Devils,2,Vegas Golden Knights,1,SO,17862,2:41,
2025-12-18,7:00 PM,Edmonton Oilers,3,Boston Bruins,1,,17850,2:33,
2025-12-18,7:30 PM,Philadelphia Flyers,3,Buffalo Sabres,5,,16055,2:30,
2025-12-18,7:00 PM,Minnesota Wild,5,Columbus Blue Jackets,2,,14845,2:34,
2025-12-18,9:00 PM,Seattle Kraken,2,Calgary Flames,4,,17449,2:30,
2025-12-18,7:00 PM,Chicago Blackhawks,1,Montreal Canadiens,4,,20962,2:27,
2025-12-18,7:00 PM,Pittsburgh Penguins,0,Ottawa Senators,4,,17260,2:25,
2025-12-18,10:00 PM,Dallas Stars,5,San Jose Sharks,3,,15808,2:34,
2025-12-18,8:00 PM,New York Rangers,2,St. Louis Blues,1,OT,18096,2:36,
2025-12-18,7:00 PM,Los Angeles Kings,2,Tampa Bay Lightning,1,,19092,2:36,
2025-12-18,7:00 PM,Toronto Maple Leafs,0,Washington Capitals,4,,18347,2:23,
2025-12-19,10:00 PM,Dallas Stars,8,Anaheim Ducks,3,,14262,2:27,
2025-12-19,9:00 PM,Winnipeg Jets,2,Colorado Avalanche,3,,18098,2:26,
2025-12-19,7:00 PM,Carolina Hurricanes,3,Florida Panthers,4,SO,19217,2:59,
2025-12-19,7:00 PM,Vancouver Canucks,4,New York Islanders,1,,17255,2:26,
2025-12-19,9:00 PM,New Jersey Devils,2,Utah Mammoth,1,,12478,2:27,
2025-12-20,10:00 PM,Columbus Blue Jackets,3,Anaheim Ducks,4,,15897,2:30,
2025-12-20,7:00 PM,Vancouver Canucks,5,Boston Bruins,4,SO,17850,2:48,
2025-12-20,5:00 PM,New York Islanders,2,Buffalo Sabres,3,SO,19070,2:47,
2025-12-20,10:00 PM,Vegas Golden Knights,3,Calgary Flames,6,,18256,2:25,
2025-12-20,6:00 PM,St. Louis Blues,6,Florida Panthers,2,,19081,2:38,
2025-12-20,3:00 PM,Edmonton Oilers,2,Minnesota Wild,5,,19025,2:29,
2025-12-20,7:00 PM,Pittsburgh Penguins,0,Montreal Canadiens,4,,20962,2:22,
2025-12-20,7:00 PM,Toronto Maple Leafs,3,Nashville Predators,5,,17159,2:21,
2025-12-20,12:30 PM,Philadelphia Flyers,4,New York Rangers,5,SO,18006,2:46,
2025-12-20,3:00 PM,Chicago Blackhawks,4,Ottawa Senators,6,,18254,2:42,
2025-12-20,10:00 PM,Seattle Kraken,4,San Jose Sharks,2,,17435,2:24,
2025-12-20,7:00 PM,Carolina Hurricanes,4,Tampa Bay Lightning,6,,19092,2:33,
2025-12-20,12:30 PM,Detroit Red Wings,5,Washington Capitals,2,,18347,2:27,
2025-12-21,7:00 PM,Ottawa Senators,6,Boston Bruins,2,,17850,2:38,
2025-12-21,7:00 PM,Toronto Maple Leafs,1,Dallas Stars,5,,18532,2:24,
2025-12-21,1:00 PM,Washington Capitals,2,Detroit Red Wings,3,OT,19515,2:37,
2025-12-21,8:00 PM,Vegas Golden Knights,3,Edmonton Oilers,4,,18347,2:27,
2025-12-21,6:00 PM,Colorado Avalanche,5,Minnesota Wild,1,,19146,2:40,
2025-12-21,7:00 PM,Buffalo Sabres,3,New Jersey Devils,1,,16886,2:21,
2025-12-21,7:00 PM,New York Rangers,1,Nashville Predators,2,,17159,2:26,
2025-12-21,7:00 PM,Montreal Canadiens,3,Pittsburgh Penguins,4,SO,17695,2:45,
2025-12-21,7:00 PM,Winnipeg Jets,3,Utah Mammoth,4,OT,12478,2:28,
2025-12-22,10:00 PM,Seattle Kraken,3,Anaheim Ducks,1,,16214,2:36,
2025-12-22,10:00 PM,Columbus Blue Jackets,3,Los Angeles Kings,1,,18145,2:34,
2025-12-22,7:30 PM,Vancouver Canucks,2,Philadelphia Flyers,5,,19994,2:27,
2025-12-22,7:00 PM,St. Louis Blues,1,Tampa Bay Lightning,4,,19092,2:24,
2025-12-23,7:00 PM,Montreal Canadiens,6,Boston Bruins,2,,17850,2:36,
2025-12-23,7:00 PM,Florida Panthers,5,Carolina Hurricanes,2,,18318,2:26,
2025-12-23,9:00 PM,Philadelphia Flyers,3,Chicago Blackhawks,1,,20256,2:31,
2025-12-23,9:00 PM,Utah Mammoth,0,Colorado Avalanche,1,,18127,2:32,
2025-12-23,6:30 PM,Dallas Stars,3,Detroit Red Wings,4,OT,19515,2:29,
2025-12-23,9:00 PM,Calgary Flames,1,Edmonton Oilers,5,,18347,2:36,
2025-12-23,10:00 PM,Seattle Kraken,3,Los Angeles Kings,2,,18143,2:33,
2025-12-23,8:00 PM,Nashville Predators,3,Minnesota Wild,2,OT,19033,2:30,
2025-12-23,7:00 PM,New Jersey Devils,1,New York Islanders,2,,17255,2:28,
2025-12-23,7:00 PM,Buffalo Sabres,3,Ottawa Senators,2,OT,17753,2:33,
2025-12-23,4:00 PM,Pittsburgh Penguins,3,Toronto Maple Leafs,6,,18979,2:31,
2025-12-23,10:00 PM,San Jose Sharks,2,Vegas Golden Knights,7,,18092,2:24,
2025-12-23,7:00 PM,New York Rangers,7,Washington Capitals,3,,18347,2:30,
2025-12-27,7:00 PM,Boston Bruins,1,Buffalo Sabres,4,,19070,2:19,
2025-12-27,7:00 PM,Detroit Red Wings,2,Carolina Hurricanes,5,,18321,2:33,
2025-12-27,10:00 PM,Edmonton Oilers,2,Calgary Flames,3,,19289,2:25,
2025-12-27,8:00 PM,Chicago Blackhawks,4,Dallas Stars,3,SO,18532,2:34,
2025-12-27,7:00 PM,Tampa Bay Lightning,4,Florida Panthers,2,,19651,2:50,
2025-12-27,9:00 PM,Anaheim Ducks,1,Los Angeles Kings,6,,18145,2:27,
2025-12-27,7:00 PM,Washington Capitals,4,New Jersey Devils,3,OT,16763,2:37,
2025-12-27,6:00 PM,New York Rangers,0,New York Islanders,2,,17255,2:37,
2025-12-27,8:00 PM,Nashville Predators,2,St. Louis Blues,3,,18096,2:27,
